injection,structure_id,experiment_id,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
1097,557,181057754,3,630439853,False,1,7560,6250,5840,0.0394519697372275,0.379944635297142,603.048220184395,1587.20025014374,0.06011391693125,105515895296,129157200,77888019584,49072585.25,0.15821757
1097,804,181057754,2,630437726,False,0.577797174453735,7810,4500,7430,0.00892117607372728,0.102399557828903,68.6122894287109,670.044738769531,0.01359341095,35708592128,108366304,7435259904,11096662,0.1327487224
1097,614,181057754,2,630437518,False,1,7200,6660,6560,0.138871193890953,0.943658232688904,4582.287109375,4855.87548828125,0.2116013844,845862731776,183049136,838783664128,172735824,0.2242351916
1097,467,181057754,3,630439780,False,1,7910,6420,5120,1.02536597848725,0.422242390692172,1306.32500477243,3093.77986097275,1.56237484884687,4641744158208,3020558968,3945831708288,1275408039.875,3.7001847358
1097,797,181057754,2,630437715,False,1,8070,4470,8110,0.150268432303921,0.241160318255424,468.322265625,1941.9541015625,0.2289676312,596968660992,775054336,362975199232,186912352,0.9494415616
1097,515,181057754,2,630437400,False,1,5580,6150,6240,0.119570728095799,0.852544605731964,2095.5556640625,2458.00122070312,0.1821927996,386821926912,174452832,365575602176,148728816,0.2137047192
1097,523,181057754,1,630438870,False,0.871750831604004,4790,6080,5590,0.0334671267764974,0.166520863771439,126.626289367676,760.422973632812,0.0509946675,100322009088,249988496,31655114752,41628300,0.3062359076
1097,1004,181057754,1,630438374,False,0.720494508743286,7640,6750,4960,0.0104156411843571,0.14762507379055,90.3617248535156,612.102844238281,0.01587056345,28146829312,87759904,7930136576,12955562,0.1075058824
1097,491,181057754,3,630439797,False,1,7910,6420,5120,0.0618647425352171,0.15829523082327,279.790317957623,1767.52209464856,0.09426479890625,252141433344,486122392,136012338624,76950856.25,0.5954999302
1097,141,181057754,2,630437056,False,1,5310,6920,6190,0.542463406704296,0.772154535466122,2411.61056919289,3123.2226949714,0.826564564103223,2208265631168,873849148,2107383841197,674746582.941406,1.0704652063
1097,693,181057754,3,630440014,False,1,6440,6900,5480,0.148443308446569,0.509762838043571,3290.5860095238,6455.13121778905,0.226186646,1273518473216,362211888,1191889371136,184642160,0.4437095628
1097,141,181057754,1,630439271,False,1,6080,6980,5520,0.115664938468828,0.15627942671159,130.343492720712,834.041277622923,0.176241453830688,353137709632,920598300,119993997814.75,143870574.555664,1.1277329175
1097,272,181057754,3,630439641,False,1,5050,6070,5840,0.046637674384178,0.355749894520978,553.348812747753,1555.4433642007,0.07106294825,127497566208,163065600,90232156160,58010570,0.19975536
1097,523,181057754,3,630439819,False,1,5070,5820,6160,0.218665661802204,0.55041019245375,1526.28114095455,2772.98851271327,0.3331861379,832912730112,494156336,754221496320,271988684,0.6053415116
1097,693,181057754,1,630438601,False,1,6440,6900,5480,0.056032088363506,0.281879305839539,363.371520996094,1289.10314941406,0.0853774432,171464835072,247254304,89845170176,69695872,0.3028865224
1097,1,181057754,3,630439427,False,1,7690,6620,6560,0.0316117019938568,0.405274051811036,638.399647089623,1575.2295125652,0.04816751205,81179891712,97021800,61938682880,39320418,0.118851705
1097,331,181057754,2,630437211,False,1,7900,6380,6210,0.133772218961705,0.364008217387691,706.799968914571,1941.71432169012,0.203831953434375,445699647744,457114492,323088508736,166393431.375,0.5599652527
1097,226,181057754,1,630439179,False,0.692460954189301,5060,6530,4790,0.0230284732895276,0.113671988248825,62.2941513061523,548.016723632812,0.03508903965,67974004736,251989200,15697453056,28644114,0.30868677
1097,126,181057754,3,630439524,False,0.994547367095947,7860,6480,5870,0.0118929475619425,0.131961005225589,103.416793318954,783.692069806239,0.018121570775,35900792832,112102200,11593250048,14793119,0.137325195
1097,980,181057754,3,630440395,False,1,7800,6430,5310,0.0777552228748667,0.812817420097656,3270.82754876501,4024.06182236109,0.1184775067,403247505408,118989000,389192499200,96716332,0.145761525
1097,157,181057754,1,630438035,False,1,6140,6890,5670,0.0522180897836137,0.18441801817561,249.308374414582,1351.86559795465,0.0795659616609375,174265412785.517,352198804,87806111296,64951805.4375,0.4314435349
1097,525,181057754,1,630438869,False,1,7660,5790,5690,0.0292836696034512,0.31777286529541,446.538269042969,1405.21215820312,0.044620233,82035720192,114624896,51184402432,36424680,0.1404154976
1097,1004,181057754,3,630440427,False,1,7400,6620,6420,0.0627927417361711,0.444993387868793,1054.92568560695,2370.65474311721,0.09567881365,221306750976,175519808,185160353792,78105154,0.2150117648
