"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1430788_at",-0.090028947368421,6.97441025641026,-0.913262481730032,0.366629392159753,0.729557009950978,-5.94868309416978
"1422465_a_at",0.132634210526315,7.12133333333333,0.913188515162614,0.366667806594784,0.729557009950978,-5.94874888782181
"1435487_at",-0.0821815789473684,6.18948717948718,-0.913181476386553,0.366671462309216,0.729557009950978,-5.94875514858437
"1456967_at",-0.0962210526315787,8.14007692307692,-0.913076582737288,0.366725943500574,0.729557009950978,-5.94884844260129
"1450436_s_at",-0.1026,7.59938461538462,-0.913042323565814,0.366743738663182,0.729557009950978,-5.94887891100955
"1457723_at",0.104918421052631,7.3974358974359,0.913029232994108,0.366750538416311,0.729557009950978,-5.94889055282583
"1459172_at",-0.116310526315789,6.3705641025641,-0.913019974169229,0.366755347860072,0.729557009950978,-5.9488987868646
"1444194_at",-0.152244736842106,9.10082051282051,-0.913003619574121,0.366763843260941,0.729557009950978,-5.94891333110356
"1449903_at",-0.0938000000000005,6.92889743589744,-0.912942048421634,0.366795827562776,0.72957217504666,-5.94896808445913
"1441619_at",0.063310526315789,6.81625641025641,0.912838655570747,0.366849540999443,0.729612092145096,-5.94906002062659
"1428322_a_at",-0.185389473684211,10.0067179487179,-0.912694008378175,0.366924694948709,0.729612092145096,-5.94918862312116
"1446250_at",0.0999236842105263,6.38476923076923,0.912675371289203,0.366934378895014,0.729612092145096,-5.94920519150943
"1426359_at",0.0719263157894736,8.06535897435897,0.912663762424057,0.366940411016499,0.729612092145096,-5.94921551163687
"1429982_at",0.258665789473684,8.97933333333333,0.912585933148555,0.366980853805621,0.729612092145096,-5.94928469758619
"1433753_x_at",0.11038947368421,8.49282051282051,0.912582285850874,0.366982749138667,0.729612092145096,-5.94928793969482
"1432241_at",-0.067592105263158,8.55117948717949,-0.912575204906808,0.366986428798081,0.729612092145096,-5.94929423396051
"1428570_at",0.150873684210527,8.06789743589744,0.912495551340034,0.367027822945769,0.729644784564944,-5.94936503495726
"1418861_at",0.0502473684210526,7.65282051282051,0.912426980780721,0.367063459926373,0.729644784564944,-5.9494259799541
"1417700_at",-0.139863157894737,6.63253846153846,-0.912400027856539,0.367077468312469,0.729644784564944,-5.94944993430942
"1431853_at",-0.082363157894737,7.46902564102564,-0.912356052989852,0.36710032434554,0.729644784564944,-5.94948901542607
"1434643_at",-0.0548552631578951,7.24497435897436,-0.912200826272339,0.36718101113317,0.729750265490288,-5.94962695329224
"1425015_at",0.110439473684211,7.61184615384615,0.91209997823281,0.367233438053441,0.729750265490288,-5.94971655702783
"1442886_at",0.24186052631579,7.22682051282051,0.912046875467006,0.367261046034393,0.729750265490288,-5.94976373515525
"1445085_at",-0.0667684210526319,6.13812820512821,-0.912008152922457,0.367281178624652,0.729750265490288,-5.94979813579422
"1423663_at",0.134492105263158,8.47512820512821,0.911980041470372,0.367295794752633,0.729750265490288,-5.94982310879104
